,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,bluff,0.0,AU,1547353035.0,42.0,-23.58,149.07,91.98,10.92
2,santona,90.0,ES,1547350200.0,93.0,43.44,-3.46,48.2,5.82
3,lompoc,20.0,US,1547351760.0,89.0,34.64,-120.46,53.96,3.36
4,atuona,68.0,PF,1547353035.0,100.0,-9.8,-139.03,80.19,15.84
5,tuatapere,8.0,NZ,1547353036.0,86.0,-46.13,167.69,58.68,10.87
6,baoqing,0.0,CN,1547353036.0,56.0,46.32,132.2,20.16,3.53
7,mar del plata,0.0,AR,1547353037.0,48.0,-46.43,-67.52,55.98,5.99
8,komsomolskiy,68.0,RU,1547353037.0,82.0,67.55,63.78,5.22,15.17
9,ribeira grande,32.0,PT,1547353037.0,97.0,38.52,-28.7,62.01,21.39
10,punta arenas,75.0,CL,1547352000.0,65.0,-53.16,-70.91,46.4,31.09
11,hermanus,32.0,ZA,1547353038.0,81.0,-34.42,19.24,57.69,9.42
12,cabo san lucas,5.0,MX,1547350920.0,68.0,22.89,-109.91,68.0,3.36
13,saint george,20.0,GR,1547351400.0,86.0,39.45,22.34,33.8,3.38
14,nikolskoye,90.0,RU,1547350200.0,92.0,59.7,30.79,24.8,13.42
15,dikson,76.0,RU,1547353040.0,100.0,73.51,80.55,-14.86,31.9
16,newton,75.0,US,1547351700.0,85.0,41.7,-93.05,30.56,6.93
17,albany,75.0,US,1547351820.0,53.0,42.65,-73.75,17.06,5.82
18,garissa,0.0,KE,1547353041.0,83.0,-0.46,39.64,71.01,5.73
19,busselton,0.0,AU,1547353041.0,86.0,-33.64,115.35,72.36,18.07
20,hilo,90.0,US,1547351580.0,75.0,19.71,-155.08,73.04,3.36
21,saint-joseph,0.0,FR,1547352000.0,74.0,43.56,6.97,48.2,4.7
22,windhoek,0.0,NA,1547348400.0,83.0,-22.57,17.08,57.2,5.82
23,pasni,12.0,PK,1547353042.0,98.0,25.26,63.48,66.42,9.42
24,tamandare,76.0,BR,1547353043.0,96.0,-8.28,-70.75,71.01,2.53
25,sur,8.0,OM,1547353043.0,100.0,22.57,59.53,69.75,4.38
26,hailar,44.0,CN,1547353044.0,76.0,49.2,119.7,3.78,7.07
27,rikitea,80.0,PF,1547352982.0,99.0,-23.12,-134.97,79.29,13.6
28,avarua,75.0,CK,1547352000.0,83.0,-21.21,-159.78,80.6,6.93
29,sao joao da barra,48.0,BR,1547353044.0,96.0,-21.64,-41.05,79.38,14.67
30,petauke,92.0,ZM,1547353045.0,99.0,-14.25,31.33,66.24,4.88
31,palmer,0.0,AU,1547350200.0,9.0,-34.85,139.16,91.4,12.75
32,klaksvik,92.0,FO,1547351400.0,93.0,62.23,-6.59,41.0,13.87
33,tasiilaq,36.0,GL,1547351400.0,67.0,65.61,-37.64,17.6,3.36
34,belaya gora,48.0,RU,1547353046.0,0.0,68.54,146.19,-39.61,3.38
35,port elizabeth,90.0,US,1547351760.0,84.0,39.31,-74.98,26.96,4.7
36,los llanos de aridane,0.0,ES,1547350200.0,62.0,28.66,-17.92,59.0,8.05
37,alyangula,40.0,AU,1547348400.0,79.0,-13.85,136.42,86.0,12.75
38,vestmannaeyjar,36.0,IS,1547353048.0,100.0,63.44,-20.27,34.92,10.92
39,yellowknife,5.0,CA,1547348400.0,75.0,62.45,-114.38,-14.81,8.05
40,tutin,88.0,RS,1547353049.0,85.0,42.99,20.34,21.42,2.82
41,ponta do sol,32.0,BR,1547353049.0,88.0,-20.63,-46.0,67.23,3.38
42,gat,0.0,SN,1547350200.0,88.0,14.69,-16.54,69.8,12.75
43,neiafu,75.0,TO,1547352000.0,78.0,-18.65,-173.98,82.4,11.41
44,sogne,32.0,NO,1547351400.0,100.0,58.08,7.82,30.2,3.36
45,havre-saint-pierre,90.0,CA,1547348400.0,72.0,50.23,-63.6,15.8,9.17
46,muros,0.0,ES,1547350200.0,93.0,42.77,-9.06,39.2,5.82
47,acapulco,40.0,MX,1547351100.0,78.0,16.86,-99.88,80.6,5.82
48,cape town,20.0,ZA,1547352000.0,93.0,-33.93,18.42,62.6,10.29
49,upernavik,32.0,GL,1547353052.0,100.0,72.79,-56.15,-5.77,9.35
50,carnarvon,0.0,ZA,1547353052.0,94.0,-30.97,22.13,50.31,6.22
51,coihaique,0.0,CL,1547352000.0,70.0,-45.58,-72.07,46.4,2.24
52,mahebourg,40.0,MU,1547352000.0,70.0,-20.41,57.7,84.2,11.41
53,east london,0.0,ZA,1547352000.0,77.0,-33.02,27.91,68.0,6.93
54,mataura,76.0,NZ,1547353054.0,86.0,-46.19,168.86,59.49,8.75
55,cruzilia,0.0,BR,1547353054.0,87.0,-21.84,-44.81,67.59,9.91
56,ushuaia,75.0,AR,1547352000.0,70.0,-54.81,-68.31,44.6,29.97
57,katsuura,20.0,JP,1547352000.0,53.0,33.93,134.5,50.0,13.87
