,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,tuktoyaktuk,5.0,CA,1547355600.0,66.0,69.44,-133.03,-32.81,4.7
2,busselton,0.0,AU,1547357992.0,80.0,-33.64,115.35,74.9,17.0
3,lewistown,90.0,US,1547356500.0,96.0,40.39,-90.15,29.66,16.11
4,hermanus,12.0,ZA,1547357992.0,74.0,-34.42,19.24,63.2,9.95
5,lebu,0.0,ET,1547355600.0,34.0,8.96,38.73,51.8,2.24
6,baker city,1.0,US,1547355180.0,84.0,44.77,-117.83,24.98,3.36
7,sorong,20.0,ID,1547357994.0,100.0,-0.86,131.25,83.63,9.4
8,georgetown,20.0,GY,1547355600.0,100.0,6.8,-58.16,71.6,4.7
9,hobart,0.0,AU,1547355600.0,40.0,-42.88,147.33,71.6,18.34
10,albany,75.0,US,1547356620.0,53.0,42.65,-73.75,15.98,5.82
11,taoudenni,0.0,ML,1547357995.0,38.0,22.68,-3.98,41.6,12.46
12,rikitea,80.0,PF,1547357996.0,99.0,-23.12,-134.97,79.49,15.21
13,ushuaia,40.0,AR,1547355600.0,70.0,-54.81,-68.31,44.6,33.33
14,orgtrud,88.0,RU,1547357997.0,86.0,56.18,40.61,17.39,9.44
15,morant bay,20.0,JM,1547355600.0,65.0,17.88,-76.41,77.0,5.82
16,lulea,64.0,SE,1547355000.0,92.0,65.58,22.15,10.4,6.87
17,turukhansk,76.0,RU,1547357883.0,51.0,65.8,87.96,-17.35,21.74
18,barrow,92.0,AR,1547357998.0,97.0,-38.31,-60.23,63.65,5.59
19,torbay,75.0,CA,1547355600.0,85.0,47.66,-52.73,23.0,12.75
20,lompoc,1.0,US,1547356500.0,92.0,34.64,-120.46,51.98,4.7
21,poum,40.0,MK,1547357400.0,84.0,41.28,20.71,8.6,5.82
22,tezu,0.0,IN,1547357977.0,40.0,27.93,96.16,63.65,1.9
23,bitung,40.0,ID,1547355600.0,66.0,1.44,125.19,86.0,6.93
24,kapaa,1.0,US,1547356020.0,78.0,22.08,-159.32,77.0,5.53
25,fangshan,0.0,CN,1547355600.0,13.0,39.75,116.14,44.6,8.95
26,kodiak,90.0,US,1547355300.0,92.0,39.95,-94.76,32.0,13.87
27,hilo,75.0,US,1547355180.0,81.0,19.71,-155.08,71.06,5.82
28,rundu,20.0,NA,1547358001.0,22.0,-17.91,19.77,74.0,8.95
29,livadi,20.0,GR,1547355000.0,100.0,40.13,22.16,26.6,3.06
30,termoli,68.0,IT,1547358002.0,91.0,42.0,14.99,39.35,6.64
31,mount gambier,0.0,AU,1547355600.0,47.0,-37.83,140.78,77.0,18.34
32,mataura,88.0,NZ,1547358003.0,91.0,-46.19,168.86,55.37,4.63
33,batagay,0.0,RU,1547358003.0,0.0,67.65,134.64,-55.78,2.73
34,pangnirtung,12.0,CA,1547358003.0,60.0,66.15,-65.72,-33.55,4.03
35,ochamchira,92.0,GE,1547358004.0,100.0,42.71,41.47,47.9,6.64
